2026-02-15 12:58:25,526 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:26,711 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:26,711 | INPUT | INFO | Fill 'input' 'Email' to value 'username.test@gmail.com'
2026-02-15 12:58:26,759 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:26,759 | INPUT | INFO | Checking that 'input' 'Email' has value 'username.test@gmail.com'
2026-02-15 12:58:26,766 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:26,767 | INPUT | INFO | Fill 'input' 'Login input' to value 'Antonio'
2026-02-15 12:58:26,787 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:26,787 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Antonio'
2026-02-15 12:58:26,791 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:26,792 | INPUT | INFO | Fill 'input' 'Password input' to value '12345678'
2026-02-15 12:58:26,812 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:26,812 | INPUT | INFO | Checking that 'input' 'Password input' has value '12345678'
2026-02-15 12:58:26,818 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:26,818 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:26,881 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:27,143 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-15 12:58:28,787 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:28,787 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:58:28,818 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:28,818 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-15 12:58:28,828 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:28,828 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-15 12:58:28,834 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:58:28,834 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-15 12:58:28,842 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-15 12:58:28,842 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:28,850 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:28,850 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:28,858 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:58:28,859 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-15 12:58:28,866 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-15 12:58:28,866 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:58:28,871 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-15 12:58:28,872 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:58:28,877 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:58:28,877 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:28,885 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
