2026-02-15 12:58:10,037 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:11,069 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:11,069 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-15 12:58:11,304 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:11,304 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-15 12:58:11,383 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:11,383 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:11,474 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:11,475 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:11,487 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:11,488 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:11,634 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:11,635 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:11,656 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:11,657 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
