2026-02-15 12:58:12,824 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:13,903 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:13,903 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-15 12:58:14,191 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:14,191 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-15 12:58:14,223 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:14,223 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:14,304 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:14,305 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:14,337 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:14,338 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:14,478 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:14,480 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:14,510 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:14,510 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
