2026-02-15 12:58:44,334 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:46,254 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:46,254 | INPUT | INFO | Fill 'input' 'Login input' to value 'user.name@mail.ru'
2026-02-15 12:58:46,345 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:46,345 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user.name@mail.ru'
2026-02-15 12:58:46,367 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:46,368 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:46,433 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:46,433 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:46,453 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:46,453 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:46,568 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:46,568 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:46,588 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:46,588 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
