2026-02-15 12:58:59,307 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:59:00,844 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:59:00,844 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-15 12:59:00,918 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:59:00,919 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-15 12:59:00,936 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:59:00,937 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-15 12:59:01,017 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:59:01,017 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-15 12:59:01,035 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:59:01,036 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:59:01,094 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:59:01,094 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:59:01,109 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:59:01,109 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:59:01,248 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:59:01,311 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:59:01,311 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:59:01,458 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:59:01,458 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
