2026-02-15 12:58:54,639 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:55,647 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:55,647 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-15 12:58:55,871 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:55,872 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-15 12:58:55,918 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:55,919 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:55,980 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:55,981 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:56,006 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:56,006 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:56,125 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:56,125 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:56,139 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:56,139 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
