2026-02-15 12:59:13,600 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-15 12:59:14,593 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:59:14,594 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:59:14,790 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:59:14,790 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle' has text 'UI Course'
2026-02-15 12:59:14,828 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:59:14,830 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle is visible'
2026-02-15 12:59:14,873 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-welcome-title-text at index 0
2026-02-15 12:59:14,873 | BASE_ELEMENT | INFO | Checking  that text 'Welcome tittle' has text 'Welcome, Antonio!'
2026-02-15 12:59:14,925 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-icon at index 0
2026-02-15 12:59:14,925 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:59:14,945 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:59:14,945 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:59:14,963 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-title-text at index 0
2026-02-15 12:59:14,963 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Logout'
2026-02-15 12:59:14,977 | BASE_ELEMENT | INFO | Getting locator with data-testid=logout-drawer-list-item-button at index 0
2026-02-15 12:59:14,977 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:59:14,992 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-icon at index 0
2026-02-15 12:59:14,992 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:59:15,010 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:59:15,010 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:59:15,032 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-title-text at index 0
2026-02-15 12:59:15,032 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Courses'
2026-02-15 12:59:15,051 | BASE_ELEMENT | INFO | Getting locator with data-testid=courses-drawer-list-item-button at index 0
2026-02-15 12:59:15,051 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:59:15,065 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-icon at index 0
2026-02-15 12:59:15,065 | BASE_ELEMENT | INFO | Checking  that icon 'Icon is visible'
2026-02-15 12:59:15,082 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-15 12:59:15,083 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:59:15,101 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-title-text at index 0
2026-02-15 12:59:15,101 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-15 12:59:15,116 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-drawer-list-item-button at index 0
2026-02-15 12:59:15,116 | BASE_ELEMENT | INFO | Checking  that button 'Button is visible'
2026-02-15 12:59:15,129 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-15 12:59:15,129 | BASE_ELEMENT | INFO | Checking  that text 'Description image is visible'
2026-02-15 12:59:15,145 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-info-description-text at index 0
2026-02-15 12:59:15,145 | BASE_ELEMENT | INFO | Checking  that text 'Description image' has text 'Recommended file size 540X300'
