2026-02-15 12:59:00,504 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:59:01,674 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-registration-link at index 0
2026-02-15 12:59:01,674 | BASE_ELEMENT | INFO | Clicking button 'Registation'
2026-02-15 12:59:02,019 | BASE_PAGE | INFO | Checking that current url mathes pattern ".*/#/auth/registration"
2026-02-15 12:59:02,065 | BASE_ELEMENT | INFO | Getting locator with data-testid=authentication-ui-course-title-text at index 0
2026-02-15 12:59:02,067 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'UI Course'
2026-02-15 12:59:02,099 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:59:02,099 | BASE_ELEMENT | INFO | Checking  that input 'Login input is visible'
2026-02-15 12:59:02,116 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:59:02,116 | BASE_ELEMENT | INFO | Checking  that input 'Password input is visible'
2026-02-15 12:59:02,131 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:59:02,132 | BASE_ELEMENT | INFO | Checking  that button 'Registration is visible'
2026-02-15 12:59:02,145 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-login-link at index 0
2026-02-15 12:59:02,146 | BASE_ELEMENT | INFO | Checking  that button 'Login is visible'
