2026-02-15 12:59:16,242 | BASE_PAGE | INFO | Opening the url "./#/courses/create"
2026-02-15 12:59:17,195 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-preview-image-upload-widget-input at index 0
2026-02-15 12:59:17,195 | FILE_INPUT | INFO | Set file './testdata/files/main.jpg' to the 'file input' 'Upload image'
2026-02-15 12:59:17,539 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-15 12:59:17,539 | INPUT | INFO | Fill 'input' 'Input' to value 'Лучший тайтл'
2026-02-15 12:59:17,611 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-15 12:59:17,611 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-15 12:59:17,631 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-15 12:59:17,631 | INPUT | INFO | Fill 'input' 'Input' to value '2 weeks'
2026-02-15 12:59:17,710 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-15 12:59:17,710 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-15 12:59:17,731 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-15 12:59:17,732 | TEXTAREA | INFO | Fill 'textarea' 'Textarea' to value 'По щучьему велению, по моему хотению'
2026-02-15 12:59:17,817 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
2026-02-15 12:59:17,817 | TEXTAREA | INFO | Checking that 'textarea' 'Textarea' has value 'По щучьему велению, по моему хотению'
2026-02-15 12:59:17,838 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-15 12:59:17,838 | INPUT | INFO | Fill 'input' 'Input' to value '25'
2026-02-15 12:59:17,900 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-max-score-input at index 0
2026-02-15 12:59:17,901 | INPUT | INFO | Checking that 'input' 'Input' has value '25'
2026-02-15 12:59:17,920 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-15 12:59:17,920 | INPUT | INFO | Fill 'input' 'Input' to value '5'
2026-02-15 12:59:17,970 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-min-score-input at index 0
2026-02-15 12:59:17,971 | INPUT | INFO | Checking that 'input' 'Input' has value '5'
2026-02-15 12:59:17,979 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-toolbar-create-course-button at index 0
2026-02-15 12:59:17,980 | BASE_ELEMENT | INFO | Clicking button 'Create button'
2026-02-15 12:59:18,076 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/courses"
2026-02-15 12:59:18,131 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-menu-button at index 0
2026-02-15 12:59:18,131 | BASE_ELEMENT | INFO | Clicking button 'Menu'
2026-02-15 12:59:18,212 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-edit-menu-item at index 0
2026-02-15 12:59:18,212 | BASE_ELEMENT | INFO | Checking  that button 'Edit course is visible'
2026-02-15 12:59:18,227 | BASE_ELEMENT | INFO | Getting locator with data-testid=course-view-edit-menu-item at index 0
2026-02-15 12:59:18,227 | BASE_ELEMENT | INFO | Clicking button 'Edit course'
2026-02-15 12:59:18,571 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-15 12:59:18,571 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-15 12:59:18,593 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-title-input at index 0
2026-02-15 12:59:18,593 | INPUT | INFO | Checking that 'input' 'Input' has value 'Лучший тайтл'
2026-02-15 12:59:18,606 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-15 12:59:18,606 | BASE_ELEMENT | INFO | Checking  that input 'Input is visible'
2026-02-15 12:59:18,620 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-estimated-time-input at index 0
2026-02-15 12:59:18,620 | INPUT | INFO | Checking that 'input' 'Input' has value '2 weeks'
2026-02-15 12:59:18,633 | BASE_ELEMENT | INFO | Getting locator with data-testid=create-course-form-description-input at index 0
