2026-02-15 12:58:47,017 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:48,632 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:48,633 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-15 12:58:48,698 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:48,698 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-15 12:58:48,755 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:48,755 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-15 12:58:48,820 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:48,821 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-15 12:58:48,830 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:48,830 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:48,915 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:48,915 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:48,931 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:48,931 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
