2026-02-15 12:58:56,854 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:57,921 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:57,921 | INPUT | INFO | Fill 'input' 'Login input' to value 'user@yandex.ru'
2026-02-15 12:58:58,207 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:58,207 | INPUT | INFO | Checking that 'input' 'Login input' has value 'user@yandex.ru'
2026-02-15 12:58:58,261 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:58,261 | INPUT | INFO | Fill 'input' 'Password input' to value '   '
2026-02-15 12:58:58,359 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:58,360 | INPUT | INFO | Checking that 'input' 'Password input' has value '   '
2026-02-15 12:58:58,388 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:58,388 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:58,470 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:58,470 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:58,482 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:58,483 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
