2026-02-15 12:58:44,332 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:58:46,168 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:46,168 | INPUT | INFO | Fill 'input' 'Email' to value 'user_mail@gmail.com'
2026-02-15 12:58:46,221 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:58:46,221 | INPUT | INFO | Checking that 'input' 'Email' has value 'user_mail@gmail.com'
2026-02-15 12:58:46,231 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:46,232 | INPUT | INFO | Fill 'input' 'Login input' to value 'username'
2026-02-15 12:58:46,283 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:58:46,283 | INPUT | INFO | Checking that 'input' 'Login input' has value 'username'
2026-02-15 12:58:46,291 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:46,291 | INPUT | INFO | Fill 'input' 'Password input' to value 'password123'
2026-02-15 12:58:46,339 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:58:46,340 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password123'
2026-02-15 12:58:46,363 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:58:46,364 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:58:46,499 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:58:46,517 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:46,518 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:58:46,767 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:58:46,767 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
2026-02-15 12:58:46,818 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
2026-02-15 12:58:46,819 | BASE_ELEMENT | INFO | Checking  that text 'Navbar tittle is visible'
2026-02-15 12:58:46,848 | BASE_ELEMENT | INFO | Getting locator with data-testid=navigation-navbar-app-title-text at index 0
