2026-02-15 12:59:03,158 | BASE_PAGE | INFO | Opening the url "./#/auth/registration"
2026-02-15 12:59:04,075 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:59:04,075 | INPUT | INFO | Fill 'input' 'Email' to value 'pochta_random@gmail.com'
2026-02-15 12:59:04,275 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-email-input at index 0
2026-02-15 12:59:04,275 | INPUT | INFO | Checking that 'input' 'Email' has value 'pochta_random@gmail.com'
2026-02-15 12:59:04,331 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:59:04,331 | INPUT | INFO | Fill 'input' 'Login input' to value 'Rail'
2026-02-15 12:59:04,397 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-username-input at index 0
2026-02-15 12:59:04,397 | INPUT | INFO | Checking that 'input' 'Login input' has value 'Rail'
2026-02-15 12:59:04,416 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:59:04,417 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:59:04,470 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-form-password-input at index 0
2026-02-15 12:59:04,471 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:59:04,492 | BASE_ELEMENT | INFO | Getting locator with data-testid=registration-page-registration-button at index 0
2026-02-15 12:59:04,492 | BASE_ELEMENT | INFO | Clicking button 'Registration'
2026-02-15 12:59:04,694 | BASE_COMPONENT | INFO | Checking that current url mathes pattern ".*/#/dashboard"
2026-02-15 12:59:04,795 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:59:04,795 | BASE_ELEMENT | INFO | Checking  that text 'Tittle is visible'
2026-02-15 12:59:04,997 | BASE_ELEMENT | INFO | Getting locator with data-testid=dashboard-toolbar-title-text at index 0
2026-02-15 12:59:04,997 | BASE_ELEMENT | INFO | Checking  that text 'Tittle' has text 'Dashboard'
