2026-02-15 12:58:49,228 | BASE_PAGE | INFO | Opening the url "./#/auth/login"
2026-02-15 12:58:50,852 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:50,852 | INPUT | INFO | Fill 'input' 'Login input' to value '   '
2026-02-15 12:58:50,951 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-email-input at index 0
2026-02-15 12:58:50,999 | INPUT | INFO | Checking that 'input' 'Login input' has value '   '
2026-02-15 12:58:51,010 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:51,010 | INPUT | INFO | Fill 'input' 'Password input' to value 'password'
2026-02-15 12:58:51,064 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-form-password-input at index 0
2026-02-15 12:58:51,064 | INPUT | INFO | Checking that 'input' 'Password input' has value 'password'
2026-02-15 12:58:51,089 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-login-button at index 0
2026-02-15 12:58:51,089 | BASE_ELEMENT | INFO | Clicking button 'Auth'
2026-02-15 12:58:51,221 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:51,222 | BASE_ELEMENT | INFO | Checking  that text 'Alert is visible'
2026-02-15 12:58:51,255 | BASE_ELEMENT | INFO | Getting locator with data-testid=login-page-wrong-email-or-password-alert at index 0
2026-02-15 12:58:51,256 | BASE_ELEMENT | INFO | Checking  that text 'Alert' has text 'Wrong email or password'
